sex,edu,model,b,L,U,,,,,,,
1,0,9,2.127386,1.968938,2.285834,,,,,,,3 7 11 15 19 23 27 31 35 39 43 47 51 49 53 57 61 65 66 70 
1,1,9,1.993668,1.851372,2.135963,,,,,,,
1,2,9,1.85995,1.733042,1.986858,,,,,,,
1,3,9,1.726231,1.613631,1.838832,,,,,,,
1,4,9,1.592513,1.492675,1.692351,,,,,,,
1,5,9,1.458795,1.36951,1.548081,,,,,,,
1,6,9,1.325077,1.243274,1.40688,,,,,,,
1,7,9,1.191359,1.113083,1.269635,,,,,,,
1,8,9,1.057641,0.9784071,1.136875,,,,,,,
1,9,9,0.9239227,0.839398,1.008447,,,,,,,
1,10,9,0.7902046,0.6967894,0.8836199,,,,,,,
1,11,9,0.6564865,0.5514916,0.7614814,,,,,,,
1,12,9,0.5227684,0.4042906,0.6412461,,,,,,,
1,12,9,0,0,0,,,,,,,
1,13,9,-0.1337182,-0.2164793,-0.050957,,,,,,,
1,14,9,-0.2674363,-0.3554734,-0.1793991,,,,,,,
1,15,9,-0.4011544,-0.4979387,-0.3043701,,,,,,,
1,16,9,-0.5348725,-0.6430363,-0.4267087,,,,,,,
1,16,9,-0.558248,-0.7062309,-0.4102652,,,,,,,
1,17,9,-0.6919662,-0.8404967,-0.5434357,,,,,,,
2,0,9,2.260948,2.107402,2.414493,,,,,,,
2,1,9,2.105995,1.968157,2.243833,,,,,,,
2,2,9,1.951042,1.828356,2.073728,,,,,,,
2,3,9,1.796089,1.687767,1.904411,,,,,,,
2,4,9,1.641136,1.546032,1.736241,,,,,,,
2,5,9,1.486183,1.402605,1.569762,,,,,,,
2,6,9,1.33123,1.256697,1.405764,,,,,,,
2,7,9,1.176278,1.107325,1.24523,,,,,,,
2,8,9,1.021325,0.9536273,1.089022,,,,,,,
2,9,9,0.8663717,0.795373,0.9373704,,,,,,,
2,10,9,0.7114188,0.6331369,0.7897006,,,,,,,
2,11,9,0.5564659,0.467896,0.6450357,,,,,,,
2,12,9,0.4015129,0.3005647,0.5024611,,,,,,,
2,12,9,0,0,0,,,,,,,
2,13,9,-0.1549529,-0.2178472,-0.0920587,,,,,,,
2,14,9,-0.3099058,-0.3786183,-0.2411933,,,,,,,
2,15,9,-0.4648587,-0.5430666,-0.3866509,,,,,,,
2,16,9,-0.6198117,-0.7100385,-0.5295848,,,,,,,
2,16,9,-0.5210561,-0.6650342,-0.3770779,,,,,,,
2,17,9,-0.676009,-0.8201772,-0.5318408,,,,,,,
