race,cohort,sex,edu,model,b,L,U
,,1,0,1,1.69034,1.376775,2.003905
,,1,1,1,2.060342,1.60751,2.513174
,,1,2,1,1.916968,1.372764,2.461172
,,1,3,1,1.814547,1.51263,2.116463
,,1,4,1,1.741177,1.398261,2.084092
,,1,5,1,1.749688,1.4398,2.059577
,,1,6,1,1.351007,1.09771,1.604304
,,1,7,1,1.3842,1.126082,1.642318
,,1,8,1,1.112822,0.937102,1.288542
,,1,9,1,0.9015352,0.6847782,1.118292
,,1,10,1,0.5783051,0.3702901,0.78632
,,1,11,1,0.6383804,0.4079128,0.8688479
,,1,12,1,0,0,0
,,1,13,1,-0.0956171,-0.3465048,0.1552706
,,1,14,1,-0.2291883,-0.4549127,-0.0034639
,,1,15,1,-0.3113577,-0.7107658,0.0880504
,,1,16,1,-0.5319888,-0.7720797,-0.2918978
,,1,17,1,-0.6275764,-0.8423262,-0.4128267
,,2,0,1,1.886533,1.57644,2.196625
,,2,1,1,2.398507,1.8371,2.959914
,,2,2,1,2.071279,1.634827,2.507732
,,2,3,1,1.592851,1.310992,1.87471
,,2,4,1,1.95861,1.672297,2.244923
,,2,5,1,1.651187,1.371796,1.930578
,,2,6,1,1.378768,1.15346,1.604076
,,2,7,1,1.36628,1.141645,1.590915
,,2,8,1,1.015955,0.8710479,1.160861
,,2,9,1,0.8261707,0.6466495,1.005692
,,2,10,1,0.6532456,0.5011415,0.8053496
,,2,11,1,0.3969928,0.2242898,0.5696959
,,2,12,1,0,0,0
,,2,13,1,-0.4408328,-0.6415297,-0.2401358
,,2,14,1,-0.2330396,-0.4077749,-0.0583043
,,2,15,1,-0.2605013,-0.5269792,0.0059766
,,2,16,1,-0.5048101,-0.7023484,-0.3072719
,,2,17,1,-0.6794206,-0.9032071,-0.4556341
1,,,0,1,1.313156,0.7509194,1.875393
1,,,1,1,2.241392,1.304535,3.17825
1,,,2,1,1.916125,1.303136,2.529113
1,,,3,1,1.961926,1.449186,2.474666
1,,,4,1,1.985679,1.531601,2.439758
1,,,5,1,1.648506,1.289678,2.007333
1,,,6,1,1.404072,1.12019,1.687954
1,,,7,1,1.288774,1.052099,1.525448
1,,,8,1,0.9824992,0.8478254,1.117173
1,,,9,1,0.6684092,0.4972233,0.839595
1,,,10,1,0.5665234,0.4162956,0.7167511
1,,,11,1,0.4341383,0.2656492,0.6026274
1,,,12,1,0,0,0
1,,,13,1,-0.2338971,-0.4049815,-0.0628127
1,,,14,1,-0.2469006,-0.4052971,-0.0885041
1,,,15,1,-0.1523665,-0.3952173,0.0904843
1,,,16,1,-0.4915392,-0.6584914,-0.3245869
1,,,17,1,-0.5890539,-0.7559538,-0.4221539
2,,,0,1,1.763626,1.269663,2.257589
2,,,1,1,1.582678,0.8354564,2.3299
2,,,2,1,2.270994,1.589506,2.952482
2,,,3,1,1.680416,1.28665,2.074182
2,,,4,1,1.165613,0.768248,1.562978
2,,,5,1,1.448215,1.079841,1.816589
2,,,6,1,1.103819,0.7772859,1.430352
2,,,7,1,0.8645065,0.5480867,1.180926
2,,,8,1,0.9751307,0.7284116,1.22185
2,,,9,1,0.855084,0.5709636,1.139204
2,,,10,1,0.5107393,0.2654762,0.7560023
2,,,11,1,0.2383052,-0.0422456,0.5188561
2,,,12,1,0,0,0
2,,,13,1,-0.6756603,-1.123252,-0.2280685
2,,,14,1,-0.5095278,-0.8501779,-0.1688777
2,,,15,1,-1.014164,-1.702962,-0.3253655
2,,,16,1,-0.721173,-1.204024,-0.2383222
2,,,17,1,-0.8858865,-1.354193,-0.4175801
3,,,0,1,1.53838,1.185196,1.891563
3,,,1,1,1.820265,1.337986,2.302544
3,,,2,1,1.45361,0.9021016,2.005118
3,,,3,1,1.021807,0.6533997,1.390215
3,,,4,1,1.413628,1.02661,1.800646
3,,,5,1,1.014835,0.5888453,1.440825
3,,,6,1,0.7966145,0.4450114,1.148218
3,,,7,1,1.273124,0.8630612,1.683186
3,,,8,1,0.8494414,0.4852565,1.213626
3,,,9,1,1.050866,0.623988,1.477744
3,,,10,1,0.2939449,-0.1594217,0.7473115
3,,,11,1,0.2387252,-0.2852558,0.7627063
3,,,12,1,0,0,0
3,,,13,1,-0.999907,-1.738794,-0.2610198
3,,,14,1,0.1789813,-0.3214057,0.6793682
3,,,15,1,-1.03488,-1.929865,-0.1398951
3,,,16,1,-0.6048577,-1.304062,0.0943464
3,,,17,1,-0.8231957,-1.491893,-0.1544986
,1930,1,0,1,1.501251,1.129295,1.873208
,1930,1,1,1,2.261878,1.601527,2.922229
,1930,1,2,1,1.293345,0.4919925,2.094697
,1930,1,3,1,1.370594,0.9561486,1.785039
,1930,1,4,1,1.487243,1.080657,1.893829
,1930,1,5,1,1.792244,1.376123,2.208366
,1930,1,6,1,1.22302,0.852475,1.593565
,1930,1,7,1,1.161294,0.8357446,1.486844
,1930,1,8,1,0.9342134,0.7059908,1.162436
,1930,1,9,1,0.667583,0.3858748,0.9492913
,1930,1,10,1,0.3575832,0.0705965,0.6445698
,1930,1,11,1,0.4231779,0.100544,0.7458119
,1930,1,12,1,0,0,0
,1930,1,13,1,0.1236995,-0.1847931,0.4321921
,1930,1,14,1,-0.2028127,-0.5214575,0.1158321
,1930,1,15,1,-0.3575741,-0.8242779,0.1091298
,1930,1,16,1,-0.5428351,-0.8450571,-0.240613
,1930,1,17,1,-0.3960608,-0.6563907,-0.1357308
,1950,1,0,1,1.884006,1.332288,2.435723
,1950,1,1,1,1.781754,1.144644,2.418863
,1950,1,2,1,2.490283,1.804538,3.176028
,1950,1,3,1,2.170982,1.766713,2.575251
,1950,1,4,1,2.01452,1.451158,2.577882
,1950,1,5,1,1.702064,1.22726,2.176868
,1950,1,6,1,1.463,1.120064,1.805937
,1950,1,7,1,1.600818,1.198743,2.002893
,1950,1,8,1,1.310252,1.040051,1.580453
,1950,1,9,1,1.160848,0.8304638,1.491232
,1950,1,10,1,0.7920654,0.4951045,1.089026
,1950,1,11,1,0.8400483,0.5148396,1.165257
,1950,1,12,1,,,
,1950,1,13,1,-0.4609435,-0.9165041,-0.0053829
,1950,1,14,1,-0.2340681,-0.5557608,0.0876246
,1950,1,15,1,-0.2600132,-0.8941479,0.3741215
,1950,1,16,1,-0.5271971,-0.9095762,-0.1448179
,1950,1,17,1,-0.9635352,-1.353608,-0.5734629
,1930,2,0,1,1.6857,1.347193,2.024206
,1930,2,1,1,2.288356,1.448235,3.128476
,1930,2,2,1,2.026974,1.474309,2.579639
,1930,2,3,1,1.596134,1.258868,1.9334
,1930,2,4,1,1.922923,1.556398,2.289448
