female,age,inci,surv,demden
women,65,0.0071308,100,0.015890746
women,66,0.0076852,98.13704165,0.016796491
women,67,0.0082827,96.18542953,0.017730346
women,68,0.0089267,94.14355385,0.018689728
women,69,0.0096207,92.01014898,0.019671064
women,70,0.0103687,89.7843861,0.020670531
women,71,0.0111748,87.46590725,0.021683113
women,72,0.0120436,85.05491324,0.022703311
women,73,0.0129799,82.55223017,0.023724445
women,74,0.013989,79.95936643,0.024739136
women,75,0.0150766,77.27863185,0.025739023
women,76,0.0162488,74.51316238,0.026714693
women,77,0.017512,71.6670355,0.027655497
women,78,0.0188735,68.74533543,0.028550487
women,79,0.0203408,65.75418281,0.029387285
women,80,0.0219223,62.70083632,0.030153208
women,81,0.0236266,59.59370132,0.030834335
women,82,0.0254635,56.44236822,0.031417018
women,83,0.0274432,53.25760365,0.031886956
women,84,0.0295767,50.05135038,0.032229986
women,85,0.0318762,46.83666264,0.032432774
women,86,0.0343544,43.62763091,0.032482368
women,87,0.0370253,40.43925558,0.032367441
women,88,0.0399039,37.2873,0.032078363
women,89,0.0430063,34.18808481,0.031607758
women,90,0.0463498,31.158254,0.030951048
women,91,0.0499533,28.21449311,0.030107149
women,92,0.0538369,25.37320475,0.029078574
women,93,0.0580225,22.65017291,0.027872121
women,94,0.0625335,20.06018663,0.026498893
women,95,0.0673952,17.61666776,0.024974559
women,96,0.0726349,15.33129073,0.023319247
women,97,0.078282,13.21362886,0.021557233
women,98,0.0843681,11.27084368,0.019716416
women,99,0.0909273,9.50742418,0.017827593
women,100,0.0979965,7.92501162,0.01592349
men,65,0.0075166,100,0.022657531
men,66,0.0080452,97.67772957,0.023668836
men,67,0.008611,95.25533148,0.024684093
men,68,0.0092166,92.73269303,0.025697011
men,69,0.0098648,90.11036402,0.026700534
men,70,0.0105585,87.38960031,0.027686513
men,71,0.0113011,84.57246036,0.028646715
men,72,0.0120958,81.66187004,0.029570964
men,73,0.0129465,78.6617399,0.030449434
men,74,0.0138569,75.57699107,0.031270427
men,75,0.0148314,72.41367668,0.032022584
men,76,0.0158745,69.17900952,0.03269351
men,77,0.0169909,65.88140857,0.033270189
men,78,0.0181858,62.53055304,0.033739761
men,79,0.0194647,59.13739622,0.034089284
men,80,0.0208336,55.71412949,0.034306336
men,81,0.0222987,52.27415005,0.034378787
men,82,0.0238669,48.83200734,0.034295955
men,83,0.0255454,45.40326351,0.034048302
men,84,0.0273419,42.00436687,0.033628165
men,85,0.0292648,38.65245091,0.033030385
men,86,0.0313228,35.36509391,0.032252217
men,87,0.0335256,32.16006244,0.031294502
men,88,0.0358834,29.05497096,0.030161385
men,89,0.0384069,26.06694368,0.028860658
men,90,0.0411079,23.21224836,0.0274044
men,91,0.0439989,20.50588434,0.025808607
men,92,0.0470932,17.96120737,0.024093162
men,93,0.050405,15.58954015,0.022281574
men,94,0.0539498,13.3998349,0.020400623
men,95,0.0577439,11.39836685,0.018479386
men,96,0.0618048,9.588520349,0.016548535
men,97,0.0661513,7.97064873,0.014639278
men,98,0.0708035,6.542039624,0.012782171
men,99,0.0757828,5.297000866,0.011005912
men,100,0.0811123,4.227056069,0.009336201
