female,race,age,inci,surv,demden
1,,65,0.007132,100,0.015888998
1,,66,0.0076864,98.13964231,0.016794889
1,,67,0.0082838,96.1905852,0.017728727
1,,68,0.0089277,94.15119862,0.018688154
1,,69,0.0096217,92.02022465,0.019669809
1,,70,0.0103695,89.79679516,0.020669257
1,,71,0.0111755,87.48055027,0.021682099
1,,72,0.0120442,85.07167071,0.022702632
1,,73,0.0129803,82.57095514,0.023723996
1,,74,0.0139892,79.97991863,0.024739007
1,,75,0.0150766,77.30083719,0.025739302
1,,76,0.0162484,74.53683897,0.026715138
1,,77,0.0175114,71.69199431,0.02765653
1,,78,0.0188725,68.77135359,0.028551879
1,,79,0.0203394,65.78104889,0.029389129
1,,80,0.0219203,62.72831785,0.030155313
1,,81,0.0236241,59.62156193,0.030836927
1,,82,0.0254604,56.47036493,0.031420041
1,,83,0.0274393,53.28549664,0.03189024
1,,84,0.0295721,50.07889621,0.032233709
1,,85,0.0318707,46.8636249,0.032436762
1,,86,0.0343479,43.65378042,0.032486562
1,,87,0.0370177,40.4643802,0.032371776
1,,88,0.0398949,37.31120509,0.032082608
1,,89,0.0429959,34.21060166,0.031611934
1,,90,0.0463378,31.17923056,0.030955013
1,,91,0.0499395,28.23380972,0.030110774
1,,92,0.0538212,25.39077416,0.029081797
1,,93,0.0580046,22.66593839,0.02787478
1,,94,0.0625131,20.07412929,0.026500861
1,,95,0.0673721,17.62880454,0.024975782
1,,96,0.0726087,15.34167046,0.023319625
1,,97,0.0782524,13.22233422,0.021556745
1,,98,0.0843347,11.27798377,0.019715051
1,,99,0.0908898,9.513132248,0.017825405
1,,100,0.0979544,7.929437389,0.015920528
2,,65,0.0076392,100,0.02307919
2,,66,0.0081674,97.67567836,0.024082205
2,,67,0.0087321,95.25130227,0.025086806
2,,68,0.0093358,92.72678614,0.026086582
2,,69,0.0099813,90.10267794,0.02707467
2,,70,0.0106714,87.38025886,0.028042869
2,,71,0.0114093,84.5615935,0.028982698
2,,72,0.0121981,81.64963801,0.029884061
2,,73,0.0130415,78.64831349,0.030737036
2,,74,0.0139432,75.56255725,0.031530376
2,,75,0.0149073,72.39843521,0.03225254
2,,76,0.015938,69.16316934,0.032891092
2,,77,0.0170399,65.86519715,0.033433501
2,,78,0.0182181,62.51420969,0.033867441
2,,79,0.0194777,59.1211534,0.034180019
2,,80,0.0208244,55.6982198,0.034359187
2,,81,0.0222643,52.25880984,0.034393601
2,,82,0.0238036,48.81744781,0.034272514
2,,83,0.0254495,45.38970358,0.033987495
2,,84,0.0272091,41.99199001,0.033531166
2,,85,0.0290903,38.64142108,0.03289892
2,,86,0.0311017,35.35555723,0.03208904
2,,87,0.0332521,32.15211667,0.031102522
2,,88,0.0355512,29.04868124,0.029944163
2,,89,0.0380092,26.06234067,0.028622353
2,,90,0.0406372,23.20931452,0.027149544
2,,91,0.0434469,20.50456175,0.025541995
2,,92,0.0464509,17.96139776,0.023819824
2,,93,0.0496626,15.59110853,0.022006595
2,,94,0.0530963,13.40261163,0.020128848
2,,95,0.0567675,11.40215857,0.018215484
2,,96,0.0606924,9.593113391,0.016296681
2,,97,0.0648888,7.97582017,0.014403137
2,,98,0.0693753,6.54756671,0.012564677
2,,99,0.074172,5.302669039,0.010809249
2,,100,0.0793003,4.232668673,0.009161713
,1,65,0.0251525,100,0.040504621
,1,66,0.0261579,95.60785539,0.040243868
,1,67,0.0272035,91.27080678,0.039923518
,1,68,0.0282909,86.99452503,0.03954288
,1,69,0.0294218,82.78464406,0.039101583
,1,70,0.0305979,78.64674053,0.038599459
,1,71,0.031821,74.58631803,0.038036697
,1,72,0.033093,70.60874375,0.037413844
,1,73,0.0344158,66.71924793,0.036731711
,1,74,0.0357915,62.92288229,0.035991597
,1,75,0.0372222,59.22448095,0.035195079
