race,age,inci,surv,demden
black,65,0.0251525,100,0.040504621
black,66,0.0261579,95.60785539,0.040243868
black,67,0.0272035,91.27080678,0.039923518
black,68,0.0282909,86.99452503,0.03954288
black,69,0.0294218,82.78464406,0.039101583
black,70,0.0305979,78.64674053,0.038599459
black,71,0.031821,74.58631803,0.038036697
black,72,0.033093,70.60874375,0.037413844
black,73,0.0344158,66.71924793,0.036731711
black,74,0.0357915,62.92288229,0.035991597
black,75,0.0372222,59.22448095,0.035195079
black,76,0.0387101,55.62863496,0.034344123
black,77,0.0402575,52.13965992,0.033441087
black,78,0.0418667,48.76156919,0.032488634
black,79,0.0435403,45.49803262,0.031489968
black,80,0.0452807,42.35235324,0.030448432
black,81,0.0470907,39.32744755,0.029367941
black,82,0.0489731,36.42579531,0.028252657
black,83,0.0509307,33.64944242,0.027106993
black,84,0.0529666,30.99996843,0.025935748
black,85,0.0550838,28.47847065,0.024743856
black,86,0.0572857,26.08554908,0.023536588
black,87,0.0595756,23.82130113,0.022319275
black,88,0.0619571,21.68531462,0.021097429
black,89,0.0644337,19.67666638,0.01987654
black,90,0.0670093,17.79392819,0.018662195
black,91,0.0696879,16.03517723,0.017459906
black,92,0.0724735,14.39800688,0.016275033
black,93,0.0753706,12.87955262,0.015112843
black,94,0.0783834,11.47650941,0.013978268
black,95,0.0815166,10.18517046,0.012876023
black,96,0.0847751,9.001453695,0.011810474
black,97,0.0881638,7.920943171,0.010785557
black,98,0.091688,6.938932096,0.009804799
black,99,0.0953531,6.050467162,0.008871224
black,100,0.0991647,5.250395914,0.007987344
white,65,0.0055492,100,0.014997518
white,66,0.0060218,98.1119414,0.015956817
white,67,0.0065346,96.12936015,0.016953581
white,68,0.0070912,94.0502944,0.017985904
white,69,0.0076951,91.87315595,0.019050108
white,70,0.0083505,89.59682517,0.020142631
white,71,0.0090617,87.22071726,0.021258352
white,72,0.0098335,84.74486767,0.022391416
white,73,0.010671,82.17001759,0.023534601
white,74,0.0115799,79.49771555,0.02467984
white,75,0.0125661,76.73038517,0.025817204
white,76,0.0136364,73.87146962,0.026936271
white,77,0.0147978,70.92546848,0.028024547
white,78,0.0160581,67.89806158,0.02906863
white,79,0.0174257,64.79616931,0.030053761
white,80,0.0189099,61.62803533,0.030964357
white,81,0.0205204,58.40325275,0.031783237
white,82,0.0222681,55.1328367,0.032493099
white,83,0.0241647,51.82918388,0.033076024
white,84,0.0262227,48.5060623,0.033513828
white,85,0.0284561,45.17854861,0.03378935
white,86,0.0308797,41.86289551,0.033885953
white,87,0.0335097,38.57639982,0.033788828
white,88,0.0363637,35.33717712,0.033485522
white,89,0.0394607,32.16388972,0.032966556
white,90,0.0428216,29.07543867,0.032226489
white,91,0.0464687,26.09059191,0.031264091
white,92,0.0504264,23.2275735,0.030083442
white,93,0.0547211,20.50360626,0.028694233
white,94,0.0593817,17.93445075,0.027112259
white,95,0.0644392,15.53393035,0.025359191
white,96,0.0699274,13.31348306,0.023462631
white,97,0.0758831,11.28175124,0.021455508
white,98,0.082346,9.4442424,0.019375052
white,99,0.0893593,7.803092161,0.017261658
white,100,0.09697,6.356944173,0.015157276
