female,child,age,dem
1,three,65,1.692
1,three,66,1.727
1,three,67,1.792
1,three,68,1.786
1,three,69,1.869
1,three,70,1.813
1,three,71,1.896
1,three,72,1.956
1,three,73,1.997
1,three,74,1.95
1,three,75,1.918
1,three,76,1.936
1,three,77,1.948
1,three,78,1.93
1,three,79,1.848
1,three,80,1.857
1,three,81,1.735
1,three,82,1.765
1,three,83,1.586
1,three,84,1.502
1,three,85,1.419
1,three,86,1.386
1,three,87,1.218
1,three,88,1.186
1,three,89,1.077
1,three,90,1.011
1,three,91,0.899
1,three,92,0.733
1,three,93,0.654
1,three,94,0.586
1,three,95,0.497
1,three,96,0.388
1,three,97,0.367
1,three,98,0.288
1,three,99,0.206
1,three,100,0.171
1,two,65,1.353
1,two,66,1.389
1,two,67,1.415
1,two,68,1.401
1,two,69,1.445
1,two,70,1.446
1,two,71,1.504
1,two,72,1.592
1,two,73,1.561
1,two,74,1.47
1,two,75,1.463
1,two,76,1.513
1,two,77,1.458
1,two,78,1.441
1,two,79,1.394
1,two,80,1.443
1,two,81,1.318
1,two,82,1.349
1,two,83,1.201
1,two,84,1.104
1,two,85,1.026
1,two,86,0.953
1,two,87,0.887
1,two,88,0.832
1,two,89,0.774
1,two,90,0.637
1,two,91,0.572
1,two,92,0.456
1,two,93,0.433
1,two,94,0.358
1,two,95,0.299
1,two,96,0.224
1,two,97,0.197
1,two,98,0.15
1,two,99,0.109
1,two,100,0.082
1,one,65,0.605
1,one,66,0.586
1,one,67,0.644
1,one,68,0.72
1,one,69,0.794
1,one,70,0.857
1,one,71,0.843
1,one,72,0.961
1,one,73,1.051
1,one,74,1.065
1,one,75,1.106
1,one,76,1.184
1,one,77,1.228
1,one,78,1.283
1,one,79,1.239
1,one,80,1.324
1,one,81,1.388
1,one,82,1.395
1,one,83,1.385
1,one,84,1.312
1,one,85,1.259
1,one,86,1.203
1,one,87,1.201
1,one,88,1.081
1,one,89,1.014
1,one,90,0.926
1,one,91,0.801
1,one,92,0.691
1,one,93,0.616
1,one,94,0.551
1,one,95,0.422
1,one,96,0.293
1,one,97,0.228
1,one,98,0.179
1,one,99,0.12
1,one,100,0.079
1,no,65,0.528
1,no,66,0.505
1,no,67,0.538
1,no,68,0.607
1,no,69,0.656
1,no,70,0.682
1,no,71,0.747
1,no,72,0.772
1,no,73,0.802
1,no,74,0.891
1,no,75,0.871
1,no,76,0.917
1,no,77,0.936
1,no,78,1.048
1,no,79,0.967
1,no,80,1.088
1,no,81,1.082
1,no,82,1.041
1,no,83,1.09
1,no,84,1.156
1,no,85,1.145
1,no,86,1.095
1,no,87,1.025
1,no,88,1.067
1,no,89,0.959
1,no,90,0.91
1,no,91,0.837
1,no,92,0.752
1,no,93,0.698
1,no,94,0.61
1,no,95,0.547
1,no,96,0.466
1,no,97,0.407
1,no,98,0.314
1,no,99,0.245
1,no,100,0.195
2,three,65,1.588
2,three,66,1.573
2,three,67,1.664
2,three,68,1.758
2,three,69,1.9
2,three,70,2.001
2,three,71,2.06
2,three,72,2.24
2,three,73,2.258
2,three,74,2.384
2,three,75,2.41
2,three,76,2.5
2,three,77,2.483
2,three,78,2.64
2,three,79,2.564
2,three,80,2.668
2,three,81,2.607
2,three,82,2.58
2,three,83,2.499
2,three,84,2.397
2,three,85,2.232
2,three,86,2.187
2,three,87,2.068
2,three,88,1.906
2,three,89,1.761
2,three,90,1.529
2,three,91,1.35
2,three,92,1.121
2,three,93,1.042
2,three,94,0.857
2,three,95,0.66
2,three,96,0.522
2,three,97,0.424
2,three,98,0.332
2,three,99,0.233
2,three,100,0.176
2,two,65,0.967
2,two,66,0.962
2,two,67,1.024
2,two,68,1.138
2,two,69,1.253
2,two,70,1.348
2,two,71,1.399
2,two,72,1.531
2,two,73,1.597
2,two,74,1.674
2,two,75,1.721
2,two,76,1.855
2,two,77,1.906
2,two,78,2.016
2,two,79,1.999
2,two,80,2.094
2,two,81,2.174
2,two,82,2.206
2,two,83,2.175
2,two,84,2.192
2,two,85,2.116
2,two,86,2.003
2,two,87,1.977
2,two,88,1.845
2,two,89,1.813
2,two,90,1.609
2,two,91,1.37
2,two,92,1.21
2,two,93,1.124
2,two,94,1.007
2,two,95,0.793
2,two,96,0.601
2,two,97,0.507
2,two,98,0.416
2,two,99,0.274
2,two,100,0.209
2,one,65,0.377
2,one,66,0.388
2,one,67,0.444
2,one,68,0.499
2,one,69,0.587
2,one,70,0.635
2,one,71,0.683
2,one,72,0.775
2,one,73,0.845
2,one,74,0.976
2,one,75,1.045
2,one,76,1.15
2,one,77,1.137
2,one,78,1.355
2,one,79,1.429
2,one,80,1.529
2,one,81,1.593
2,one,82,1.682
2,one,83,1.817
2,one,84,1.886
2,one,85,1.954
2,one,86,1.898
2,one,87,1.889
2,one,88,1.856
2,one,89,1.88
2,one,90,1.652
2,one,91,1.617
2,one,92,1.467
2,one,93,1.386
2,one,94,1.231
2,one,95,0.961
2,one,96,0.789
2,one,97,0.629
2,one,98,0.519
2,one,99,0.335
2,one,100,0.262
2,no,65,0.389
2,no,66,0.4
2,no,67,0.46
2,no,68,0.526
2,no,69,0.566
2,no,70,0.616
2,no,71,0.643
2,no,72,0.715
2,no,73,0.805
2,no,74,0.894
2,no,75,0.95
2,no,76,1.022
2,no,77,1.053
2,no,78,1.201
2,no,79,1.266
2,no,80,1.319
2,no,81,1.473
2,no,82,1.537
2,no,83,1.569
