child,educ,wealth,dle,dfle,sd_dle,sd_dfle
three,lths,first,2.62,11.82,0.29,0.57
three,lths,second,2.58,12.26,0.24,0.43
three,lths,third,2.43,13.43,0.28,0.51
three,lths,fourth,2.54,14.09,0.29,0.53
three,hs,first,1.11,14.63,0.18,0.73
three,hs,second,1.11,15.23,0.17,0.55
three,hs,third,1.05,16.36,0.16,0.61
three,hs,fourth,1.14,17.13,0.17,0.62
three,sc,first,1.00,14.74,0.22,0.74
three,sc,second,0.98,15.41,0.17,0.57
three,sc,third,0.94,16.49,0.19,0.65
three,sc,fourth,1.00,17.28,0.18,0.65
three,co,first,0.88,17.48,0.22,0.71
three,co,second,0.88,18.16,0.20,0.57
three,co,third,0.83,19.28,0.18,0.70
three,co,fourth,0.84,20.15,0.20,0.72
no,lths,first,1.95,12.45,0.30,0.52
no,lths,second,1.91,12.99,0.22,0.50
no,lths,third,1.79,14.08,0.26,0.46
no,lths,fourth,1.88,14.79,0.27,0.42
no,hs,first,0.80,14.98,0.13,0.53
no,hs,second,0.79,15.66,0.10,0.41
no,hs,third,0.77,16.72,0.12,0.39
no,hs,fourth,0.80,17.57,0.12,0.32
no,sc,first,0.72,15.08,0.16,0.59
no,sc,second,0.69,15.76,0.11,0.49
no,sc,third,0.68,16.80,0.12,0.51
no,sc,fourth,0.70,17.62,0.12,0.48
no,co,first,0.64,17.85,0.15,0.53
no,co,second,0.64,18.56,0.12,0.47
no,co,third,0.61,19.66,0.10,0.55
no,co,fourth,0.60,20.53,0.12,0.55
