educ,female,age,dem
lths,1,65,2.175
lths,1,66,2.343
lths,1,67,2.405
lths,1,68,2.312
lths,1,69,2.452
lths,1,70,2.444
lths,1,71,2.51
lths,1,72,2.569
lths,1,73,2.491
lths,1,74,2.435
lths,1,75,2.429
lths,1,76,2.405
lths,1,77,2.385
lths,1,78,2.366
lths,1,79,2.342
lths,1,80,2.198
lths,1,81,2.028
lths,1,82,1.951
lths,1,83,1.828
lths,1,84,1.678
lths,1,85,1.505
lths,1,86,1.382
lths,1,87,1.263
lths,1,88,1.122
lths,1,89,0.939
lths,1,90,0.835
lths,1,91,0.664
lths,1,92,0.566
lths,1,93,0.47
lths,1,94,0.397
lths,1,95,0.307
lths,1,96,0.218
lths,1,97,0.155
lths,1,98,0.126
lths,1,99,0.081
lths,1,100,0.055
hs,1,65,0.71
hs,1,66,0.668
hs,1,67,0.738
hs,1,68,0.756
hs,1,69,0.842
hs,1,70,0.886
hs,1,71,0.862
hs,1,72,0.962
hs,1,73,1.011
hs,1,74,1.018
hs,1,75,1.017
hs,1,76,1.053
hs,1,77,1.066
hs,1,78,1.124
hs,1,79,1.065
hs,1,80,1.124
hs,1,81,1.104
hs,1,82,1.118
hs,1,83,1.078
hs,1,84,1.038
hs,1,85,0.969
hs,1,86,0.906
hs,1,87,0.866
hs,1,88,0.791
hs,1,89,0.744
hs,1,90,0.691
hs,1,91,0.58
hs,1,92,0.494
hs,1,93,0.454
hs,1,94,0.379
hs,1,95,0.321
hs,1,96,0.223
hs,1,97,0.192
hs,1,98,0.152
hs,1,99,0.088
hs,1,100,0.063
scco,1,65,0.253
scco,1,66,0.258
scco,1,67,0.274
scco,1,68,0.311
scco,1,69,0.359
scco,1,70,0.38
scco,1,71,0.445
scco,1,72,0.487
scco,1,73,0.547
scco,1,74,0.602
scco,1,75,0.585
scco,1,76,0.651
scco,1,77,0.68
scco,1,78,0.757
scco,1,79,0.763
scco,1,80,0.876
scco,1,81,0.925
scco,1,82,0.957
scco,1,83,0.994
scco,1,84,1.086
scco,1,85,1.073
scco,1,86,1.07
scco,1,87,1.081
scco,1,88,1.17
scco,1,89,1.12
scco,1,90,1.047
scco,1,91,1.016
scco,1,92,0.961
scco,1,93,0.913
scco,1,94,0.819
scco,1,95,0.743
scco,1,96,0.655
scco,1,97,0.545
scco,1,98,0.502
scco,1,99,0.358
scco,1,100,0.304
lths,2,65,1.781
lths,2,66,1.79
lths,2,67,1.858
lths,2,68,1.949
lths,2,69,2.115
lths,2,70,2.148
lths,2,71,2.213
lths,2,72,2.425
lths,2,73,2.52
lths,2,74,2.467
lths,2,75,2.523
lths,2,76,2.605
lths,2,77,2.686
lths,2,78,2.715
lths,2,79,2.659
lths,2,80,2.719
lths,2,81,2.605
lths,2,82,2.689
lths,2,83,2.515
lths,2,84,2.371
lths,2,85,2.27
lths,2,86,2.177
lths,2,87,2.063
lths,2,88,1.929
lths,2,89,1.732
lths,2,90,1.527
lths,2,91,1.311
lths,2,92,1.139
lths,2,93,1.026
lths,2,94,0.878
lths,2,95,0.699
lths,2,96,0.541
lths,2,97,0.445
lths,2,98,0.347
lths,2,99,0.231
lths,2,100,0.193
hs,2,65,0.465
hs,2,66,0.458
hs,2,67,0.537
hs,2,68,0.601
hs,2,69,0.664
hs,2,70,0.745
hs,2,71,0.805
hs,2,72,0.891
hs,2,73,0.963
hs,2,74,1.09
hs,2,75,1.144
hs,2,76,1.208
hs,2,77,1.243
hs,2,78,1.44
hs,2,79,1.496
hs,2,80,1.537
hs,2,81,1.665
hs,2,82,1.701
hs,2,83,1.78
hs,2,84,1.86
hs,2,85,1.839
hs,2,86,1.84
hs,2,87,1.787
hs,2,88,1.749
hs,2,89,1.76
hs,2,90,1.524
hs,2,91,1.412
hs,2,92,1.292
hs,2,93,1.155
hs,2,94,1.007
hs,2,95,0.788
hs,2,96,0.595
hs,2,97,0.493
hs,2,98,0.399
hs,2,99,0.259
hs,2,100,0.207
scco,2,65,0.251
scco,2,66,0.203
scco,2,67,0.309
scco,2,68,0.318
scco,2,69,0.358
scco,2,70,0.43
scco,2,71,0.438
scco,2,72,0.504
scco,2,73,0.587
scco,2,74,0.643
scco,2,75,0.705
scco,2,76,0.799
scco,2,77,0.84
scco,2,78,0.968
scco,2,79,1.045
scco,2,80,1.127
scco,2,81,1.255
scco,2,82,1.368
scco,2,83,1.446
scco,2,84,1.497
scco,2,85,1.6
scco,2,86,1.728
scco,2,87,1.683
scco,2,88,1.79
scco,2,89,1.84
scco,2,90,1.877
scco,2,91,1.744
scco,2,92,1.701
scco,2,93,1.664
scco,2,94,1.49
scco,2,95,1.31
scco,2,96,1.246
scco,2,97,1.042
scco,2,98,0.938
scco,2,99,0.756
scco,2,100,0.564
