female,education,age,inci,surv,demden
1,lths,65,0.0229662,100,0.042280647
1,lths,66,0.0238388,95.40053496,0.041838337
1,lths,67,0.0247445,90.87820341,0.041338465
1,lths,68,0.0256846,86.43820676,0.040781285
1,lths,69,0.0266604,82.08563946,0.040167239
1,lths,70,0.0276733,77.82544903,0.039497125
1,lths,71,0.0287247,73.66239951,0.03877195
1,lths,72,0.029816,69.60105227,0.037992963
1,lths,73,0.0309488,65.64576474,0.037161917
1,lths,74,0.0321246,61.80063169,0.036280672
1,lths,75,0.0333451,58.06946614,0.035351575
1,lths,76,0.034612,54.45579034,0.034377206
1,lths,77,0.035927,50.9627863,0.033360391
1,lths,78,0.0372919,47.59329957,0.032304304
1,lths,79,0.0387087,44.34979942,0.031212513
1,lths,80,0.0401794,41.23436398,0.030088778
1,lths,81,0.0417059,38.24865843,0.028936986
1,lths,82,0.0432904,35.39393175,0.027761421
1,lths,83,0.0449351,32.67099189,0.026566507
1,lths,84,0.0466423,30.08020415,0.025356845
1,lths,85,0.0484144,27.62148428,0.024137177
1,lths,86,0.0502538,25.29429272,0.022912294
1,lths,87,0.052163,23.09763626,0.021687061
1,lths,88,0.0541448,21.03007563,0.020466441
1,lths,89,0.0562019,19.08973175,0.019255275
1,lths,90,0.0583372,17.2742972,0.018058367
1,lths,91,0.0605536,15.58105707,0.016880363
1,lths,92,0.0628541,14.00690729,0.015725747
1,lths,93,0.0652421,12.54837639,0.014598858
1,lths,94,0.0677208,11.20165669,0.013503691
1,lths,95,0.0702937,9.962631923,0.012443984
1,lths,96,0.0729644,8.826915084,0.011423127
1,lths,97,0.0757365,7.789880238,0.010444118
1,lths,98,0.0786139,6.846706173,0.009509579
1,lths,99,0.0816006,5.992412502,0.008621699
1,lths,100,0.0847008,5.221902432,0.007782225
1,hs,65,0.0055149,100,0.012824664
1,hs,66,0.0060052,98.38576077,0.013731085
1,hs,67,0.0065391,96.67931649,0.014682957
1,hs,68,0.0071204,94.87753797,0.015679246
1,hs,69,0.0077534,92.97754255,0.016718601
1,hs,70,0.0084427,90.9767415,0.017798724
1,hs,71,0.0091933,88.87293793,0.018916414
1,hs,72,0.0100106,86.66440848,0.020067378
1,hs,73,0.0109005,84.34998962,0.021246243
1,hs,74,0.0118696,81.92919396,0.022446728
1,hs,75,0.0129249,79.40228816,0.023660842
1,hs,76,0.0140739,76.77042586,0.02487892
1,hs,77,0.0153251,74.03577971,0.026090336
1,hs,78,0.0166876,71.20163531,0.02728258
1,hs,79,0.0181711,68.27250928,0.028441176
1,hs,80,0.0197866,65.25430271,0.029550713
1,hs,81,0.0215456,62.15435488,0.030593517
1,hs,82,0.0234611,58.98157376,0.031551199
1,hs,83,0.0255468,55.7464865,0.032403571
1,hs,84,0.027818,52.46130163,0.033130084
1,hs,85,0.0302911,49.13988791,0.033709429
1,hs,86,0.0329841,45.79776936,0.034120566
1,hs,87,0.0359164,42.45203227,0.034343
1,hs,88,0.0391095,39.12118304,0.034358106
1,hs,89,0.0425864,35.82492879,0.034149234
1,hs,90,0.0463724,32.58390602,0.03370325
1,hs,91,0.050495,29.41933131,0.033011232
1,hs,92,0.0549841,26.35257745,0.032069439
1,hs,93,0.0598723,23.40467494,0.030880259
1,hs,94,0.0651951,20.59577764,0.029452925
1,hs,95,0.0709911,17.94457043,0.027804008
1,hs,96,0.0773024,15.46767382,0.025957677
1,hs,97,0.0841748,13.17905314,0.023945471
1,hs,98,0.0916581,11.08947528,0.021805653
1,hs,99,0.0998067,9.206054689,0.019582139
1,hs,100,0.1086797,7.531907923,0.017322781
1,sc,65,0.0037212,100,0.009659183
1,sc,66,0.0040802,98.83637312,0.010462552
1,sc,67,0.0044739,97.58765366,0.011320971
1,sc,68,0.0049055,96.24897136,0.012235582
1,sc,69,0.0053788,94.81543249,0.013207791
1,sc,70,0.0058978,93.28216071,0.014238059
1,sc,71,0.0064668,91.64435561,0.015325955
1,sc,72,0.0070907,89.89740593,0.016470639
1,sc,73,0.0077748,88.03693004,0.017670108
1,sc,74,0.0085249,86.05891209,0.018921153
1,sc,75,0.0093474,83.95980614,0.020219281
1,sc,76,0.0102493,81.73668207,0.021558379
1,sc,77,0.0112381,79.387354,0.022930194
1,sc,78,0.0123224,76.91059059,0.024325234
1,sc,79,0.0135113,74.30625144,0.025731178
1,sc,80,0.0148148,71.57549637,0.027133398
1,sc,81,0.0162442,68.72099702,0.028515387
1,sc,82,0.0178114,65.74713434,0.029857228
1,sc,83,0.0195299,62.66020681,0.031137214
1,sc,84,0.0214141,59.4686145,0.032330565
1,sc,85,0.0234802,56.18305427,0.033410937
1,sc,86,0.0257456,52.81664493,0.03434967
1,sc,87,0.0282295,49.3850223,0.035117089
1,sc,88,0.0309531,45.9063883,0.03568329
1,sc,89,0.0339395,42.40143415,0.036018779
1,sc,90,0.037214,38.89321781,0.036095865
1,sc,91,0.0408045,35.406906,0.035890261
1,sc,92,0.0447413,31.96936773,0.035382251
1,sc,93,0.049058,28.60868337,0.034558956
1,sc,94,0.0537912,25.35346193,0.033415473
1,sc,95,0.058981,22.23205766,0.03195662
1,sc,96,0.0646715,19.27167278,0.030198259
1,sc,97,0.0709111,16.49737679,0.028167991
1,sc,98,0.0777526,13.93109074,0.025905152
1,sc,99,0.0852543,11.5906123,0.023460377
1,sc,100,0.0934797,9.488732917,0.02089369
1,co,65,0.002083,100,0.005870601
1,co,66,0.0023333,99.10618846,0.006514422
1,co,67,0.0026137,98.13463732,0.007222297
1,co,68,0.0029278,97.07941802,0.007999045
1,co,69,0.0032796,95.93431955,0.008849409
1,co,70,0.0036737,94.69289642,0.009778351
1,co,71,0.0041151,93.34848924,0.010790219
1,co,72,0.0046096,91.89431677,0.011889472
1,co,73,0.0051635,90.32349239,0.013079491
1,co,74,0.005784,88.62916557,0.01436316
1,co,75,0.006479,86.80460611,0.015741829
1,co,76,0.0072575,84.84337299,0.017215713
1,co,77,0.0081296,82.73943943,0.01878319
1,co,78,0.0091065,80.48743506,0.020440043
1,co,79,0.0102007,78.0828534,0.022179122
1,co,80,0.0114265,75.5223309,0.023990527
1,co,81,0.0127995,72.80393355,0.025859564
1,co,82,0.0143375,69.92752062,0.027767691
1,co,83,0.0160604,66.8950776,0.029691258
1,co,84,0.0179902,63.71110537,0.03160063
1,co,85,0.020152,60.38302884,0.03346121
1,co,86,0.0225735,56.92155466,0.035231866
1,co,87,0.025286,53.34104906,0.036866298
1,co,88,0.0283244,49.65982152,0.038312986
1,co,89,0.031728,45.90031987,0.039516842
1,co,90,0.0355405,42.08921727,0.040420261
1,co,91,0.0398111,38.25730361,0.040966225
1,co,92,0.044595,34.43915645,0.041101138
1,co,93,0.0499536,30.67256436,0.040778087
1,co,94,0.0559562,26.99764894,0.039961934
1,co,95,0.06268,23.45567538,0.038632997
1,co,96,0.0702118,20.08758145,0.036791945
1,co,97,0.0786487,16.93222458,0.034463135
1,co,98,0.0880993,14.02448017,0.03169701
1,co,99,0.0986856,11.39328317,0.028570699
1,co,100,0.1105439,9.059790408,0.025185591
2,lths,65,0.027026,100,0.056691698
2,lths,66,0.0277677,94.87487194,0.055211952
2,lths,67,0.0285298,89.84403171,0.053668541
2,lths,68,0.0293128,84.9148327,0.052065199
2,lths,69,0.0301173,80.09445182,0.050406254
2,lths,70,0.0309438,75.38984513,0.04869626
2,lths,71,0.0317931,70.8077095,0.046940631
2,lths,72,0.0326657,66.35441409,0.045144655
2,lths,73,0.0335622,62.03597669,0.043314135
2,lths,74,0.0344833,57.85800308,0.041455316
2,lths,75,0.0354297,53.82563744,0.039574703
2,lths,76,0.0364021,49.94353094,0.037679023
2,lths,77,0.0374011,46.21577944,0.035775091
2,lths,78,0.0384276,42.64590205,0.033870157
2,lths,79,0.0394823,39.23678839,0.031971332
2,lths,80,0.0405659,35.99067892,0.030085761
2,lths,81,0.0416792,32.90913195,0.028220623
2,lths,82,0.0428231,29.99300195,0.026383044
2,lths,83,0.0439984,27.24242732,0.02457988
2,lths,84,0.0452059,24.65681631,0.022817743
2,lths,85,0.0464466,22.23485463,0.021103016
2,lths,86,0.0477213,19.97450451,0.019441584
2,lths,87,0.049031,17.87302488,0.017838958
2,lths,88,0.0503767,15.92698891,0.01630011
2,lths,89,0.0517593,14.13231877,0.014829399
2,lths,90,0.0531798,12.48432536,0.013430589
2,lths,91,0.0546394,10.97775537,0.01210682
2,lths,92,0.0561389,9.606839435,0.010860431
2,lths,93,0.0576797,8.365362644,0.009693167
2,lths,94,0.0592627,7.246720241,0.00860594
2,lths,95,0.0608892,6.243996774,0.007599002
2,lths,96,0.0625603,5.350033839,0.006671857
2,lths,97,0.0642773,4.557510749,0.005823344
2,lths,98,0.0660414,3.859017765,0.005051644
2,lths,99,0.0678539,3.247135704,0.004354343
2,lths,100,0.0697161,2.714507361,0.00372849
2,hs,65,0.0064071,100,0.022985509
2,hs,66,0.0068577,97.94217818,0.024076604
2,hs,67,0.0073401,95.77247113,0.025177781
2,hs,68,0.0078563,93.4885516,0.026281524
2,hs,69,0.0084089,91.08871174,0.027380813
2,hs,70,0.0090003,88.57189419,0.028466299
2,hs,71,0.0096333,85.93786937,0.029528249
2,hs,72,0.0103108,83.18733278,0.030555495
2,hs,73,0.011036,80.3220506,0.031536019
2,hs,74,0.0118122,77.34498084,0.032456355
2,hs,75,0.012643,74.26041862,0.033302228
2,hs,76,0.0135322,71.07412781,0.034058351
2,hs,77,0.0144839,67.79347057,0.034708846
2,hs,78,0.0155026,64.42750808,0.035237646
2,hs,79,0.0165929,60.9870829,0.03562806
2,hs,80,0.0177599,57.48488168,0.035864052
2,hs,81,0.019009,53.93547831,0.035930177
2,hs,82,0.020346,50.35527529,0.035812271
2,hs,83,0.021777,46.76245727,0.035497831
2,hs,84,0.0233086,43.17683765,0.034976986
2,hs,85,0.0249479,39.61964916,0.034243083
2,hs,86,0.0267026,36.11324827,0.033293418
2,hs,87,0.0285806,32.6807489,0.03212933
2,hs,88,0.0305908,29.34557552,0.030757729
2,hs,89,0.0327423,26.13093564,0.029190518
2,hs,90,0.0350451,23.05923606,0.027445597
2,hs,91,0.0375099,20.15144274,0.025546555
2,hs,92,0.0401481,17.42642593,0.02352237
2,hs,93,0.0429718,14.90030505,0.021406803
2,hs,94,0.0459941,12.58584898,0.019237593
2,hs,95,0.049229,10.49194674,0.017055059
2,hs,96,0.0526914,8.623213284,0.014900508
2,hs,97,0.0563973,6.979749208,0.012814485
2,hs,98,0.0603638,5.557104982,0.010834832
2,hs,99,0.0646094,4.346454633,0.008994833
2,hs,100,0.0691535,3.334994019,0.007321435
2,sc,65,0.0034813,100,0.014683034
2,sc,66,0.0038068,97.915003,0.015709436
2,sc,67,0.0041627,95.72936407,0.016781286
2,sc,68,0.004552,93.44160409,0.017896835
2,sc,69,0.0049776,91.05073567,0.01905194
2,sc,70,0.005443,88.55638661,0.020242649
2,sc,71,0.0059519,85.95884937,0.021463372
2,sc,72,0.0065084,83.25919606,0.022707421
2,sc,73,0.0071169,80.45936593,0.023966416
2,sc,74,0.0077824,77.56227685,0.02523109
2,sc,75,0.00851,74.57190935,0.026489416
2,sc,76,0.0093057,71.49343205,0.027729036
2,sc,77,0.0101758,68.33325786,0.028935134
2,sc,78,0.0111273,65.09913657,0.030091574
2,sc,79,0.0121677,61.80022999,0.031180262
2,sc,80,0.0133053,58.4471476,0.032181989
2,sc,81,0.0145494,55.0519886,0.033076909
2,sc,82,0.0159098,51.62830073,0.033843492
2,sc,83,0.0173973,48.19106286,0.03446005
2,sc,84,0.019024,44.75658506,0.034905619
2,sc,85,0.0208027,41.34236603,0.035159234
2,sc,86,0.0227478,37.9669212,0.035202215
2,sc,87,0.0248747,34.64951699,0.035017736
2,sc,88,0.0272005,31.40987349,0.034592698
2,sc,89,0.0297438,28.26780108,0.033918125
2,sc,90,0.0325248,25.24278787,0.032990106
2,sc,91,0.0355659,22.3535375,0.031811118
2,sc,92,0.0388913,19.61747766,0.030390103
2,sc,93,0.0425277,17.05025545,0.028743456
2,sc,94,0.046504,14.66523587,0.026894794
2,sc,95,0.0508521,12.47304088,0.02487518
2,sc,96,0.0556068,10.48113407,0.022722226
2,sc,97,0.0608061,8.693510137,0.020479055
2,sc,98,0.0664915,7.11049304,0.01819277
2,sc,99,0.0727084,5.728679704,0.015912515
2,sc,100,0.0795067,4.541040115,0.013687223
2,co,65,0.0018951,100,0.006344116
2,co,66,0.002129,98.78096122,0.007036555
2,co,67,0.0023918,97.4737963,0.007796072
2,co,68,0.0026871,96.07336189,0.0086274
2,co,69,0.0030188,94.5744813,0.009534708
2,co,70,0.0033915,92.97196406,0.010522589
2,co,71,0.0038101,91.26067628,0.011594443
2,co,72,0.0042805,89.43565123,0.012754245
2,co,73,0.0048089,87.49214221,0.01400393
2,co,74,0.0054025,85.4257678,0.015345001
2,co,75,0.0060694,83.23261565,0.016777598
2,co,76,0.0068187,80.90942232,0.018300109
2,co,77,0.0076604,78.45371915,0.01990818
2,co,78,0.0086061,75.86403963,0.021595787
2,co,79,0.0096685,73.14013701,0.023353023
2,co,80,0.010862,70.28319238,0.025166746
2,co,81,0.0122029,67.29610003,0.027020055
2,co,82,0.0137093,64.18368085,0.028891096
2,co,83,0.0154017,60.95297017,0.030753502
2,co,84,0.0173029,57.61345222,0.032575348
2,co,85,0.0194389,54.17732083,0.034320234
2,co,86,0.0218386,50.65962215,0.035946177
2,co,87,0.0245345,47.07843714,0.037406757
2,co,88,0.0275632,43.45492465,0.038652087
2,co,89,0.0309658,39.81326252,0.039630023
2,co,90,0.0347884,36.1804778,0.040288041
2,co,91,0.0390829,32.58611202,0.040575941
2,co,92,0.0439075,29.06169215,0.040448637
2,co,93,0.0493277,25.64002702,0.039869875
2,co,94,0.0554171,22.35428859,0.038815881
2,co,95,0.0622581,19.23691109,0.037278955
2,co,96,0.0699437,16.31833278,0.035271355
2,co,97,0.078578,13.6256342,0.032827353
2,co,98,0.0882781,11.18116298,0.030004751
2,co,99,0.0991757,9.001238563,0.026884135
2,co,100,0.1114186,7.095081418,0.023565818
