female	education	age	inci	surv	demden
1	lths	65	0.0305953	100	0.06151073
1	lths	66	0.0313793	95.37913902	0.059692215
1	lths	67	0.0321835	90.83750818	0.057805838
1	lths	68	0.0330082	86.38026937	0.055856079
1	lths	69	0.0338541	82.01245992	0.053848655
1	lths	70	0.0347217	77.738963	0.051789413
1	lths	71	0.0356115	73.56446422	0.049684698
1	lths	72	0.0365241	69.49347658	0.047541476
1	lths	73	0.03746	65.53025773	0.045367012
1	lths	74	0.03842	61.67882542	0.043169321
1	lths	75	0.0394046	57.9429025	0.040956381
1	lths	76	0.0404144	54.32591592	0.038736596
1	lths	77	0.04145	50.83095838	0.036518604
1	lths	78	0.0425123	47.46076577	0.034311442
1	lths	79	0.0436017	44.21770551	0.032123782
1	lths	80	0.0447191	41.10375114	0.029964694
1	lths	81	0.045865	38.12046534	0.027842839
1	lths	82	0.0470404	35.26898218	0.025766995
1	lths	83	0.0482459	32.55001684	0.023745366
1	lths	84	0.0494822	29.96382696	0.021785827
1	lths	85	0.0507503	27.51022314	0.019895866
1	lths	86	0.0520508	25.18856662	0.018082177
1	lths	87	0.0533847	22.99777532	0.016350906
1	lths	88	0.0547528	20.93631448	0.014707321
1	lths	89	0.0561559	19.00221946	0.013155831
1	lths	90	0.057595	17.19310766	0.011699956
1	lths	91	0.0590709	15.50618825	0.010342188
1	lths	92	0.0605847	13.938288	0.009084062
1	lths	93	0.0621373	12.48587601	0.007926043
1	lths	94	0.0637296	11.1450916	0.006867589
1	lths	95	0.0653628	9.91177244	0.005907195
1	lths	96	0.0670378	8.781493415	0.005042382
1	lths	97	0.0687557	7.749598116	0.00426982
1	lths	98	0.0705177	6.811240662	0.003585396
1	lths	99	0.0723248	5.961422851	0.002984305
1	lths	100	0.0741782	5.195038243	0.002461186
1	hs	65	0.0082232	100	0.022422168
1	hs	66	0.0088001	98.39433055	0.023488396
1	hs	67	0.0094175	96.69635289	0.024565437
1	hs	68	0.0100782	94.90288314	0.02564691
1	hs	69	0.0107853	93.01098328	0.026725727
1	hs	70	0.0115419	91.01801792	0.027793251
1	hs	71	0.0123517	88.9217159	0.028840693
1	hs	72	0.0132183	86.72029904	0.029857342
1	hs	73	0.0141457	84.41252457	0.030831749
1	hs	74	0.0151381	81.9978384	0.03175125
1	hs	75	0.0162002	79.47643686	0.03260263
1	hs	76	0.0173367	76.84941717	0.033371148
1	hs	77	0.018553	74.11887224	0.034042078
1	hs	78	0.0198547	71.28802678	0.03459985
1	hs	79	0.0212477	68.36134177	0.035028532
1	hs	80	0.0227384	65.34466412	0.035312485
