child,educ,wealth,female,le,dle,dfle,sd_dle,sd_dfle,free,sd
three,,,1,1.82,1.82,14.85,0.16,0.42,dle,0.16
two,,,1,1.24,1.24,15.02,0.09,0.3,dle,0.09
one,,,1,0.98,0.98,16.67,0.07,0.28,dle,0.07
no,,,1,0.86,0.86,17.56,0.08,0.26,dle,0.08
three,,,2,2.66,2.66,16.54,0.19,0.36,dle,0.19
two,,,2,1.92,1.92,17.77,0.12,0.39,dle,0.12
one,,,2,1.71,1.71,19.1,0.14,0.35,dle,0.14
no,,,2,1.52,1.52,19.96,0.11,0.25,dle,0.11
,lths,,1,2.07,2.07,13.41,0.12,0.25,dle,0.12
,hs,,1,0.82,0.82,16.4,0.07,0.25,dle,0.07
,sc,,1,0.7,0.7,16.62,0.1,0.35,dle,0.1
,co,,1,0.63,0.63,19.75,0.11,0.41,dle,0.11
,lths,,2,2.72,2.72,15.92,0.15,0.26,dle,0.15
,hs,,2,1.62,1.62,18.88,0.1,0.22,dle,0.1
,sc,,2,1.43,1.43,20.36,0.17,0.35,dle,0.17
,co,,2,1.04,1.04,21.3,0.17,0.54,dle,0.17
,,first,1,1.54,1.54,13.51,0.15,0.45,dle,0.15
,,second,1,1.28,1.28,14.75,0.08,0.29,dle,0.08
,,third,1,1.06,1.06,16.32,0.11,0.28,dle,0.11
,,fourth,1,0.95,0.95,18.09,0.1,0.31,dle,0.1
,,first,2,2.1,2.1,17.48,0.16,0.34,dle,0.16
,,second,2,1.91,1.91,17.8,0.12,0.28,dle,0.12
,,third,2,1.91,1.91,19.25,0.15,0.33,dle,0.15
,,fourth,2,1.29,1.29,20.05,0.14,0.34,dle,0.14
three,,,1,14.85,,,,,dfle,0.42
two,,,1,15.02,,,,,dfle,0.3
one,,,1,16.67,,,,,dfle,0.28
no,,,1,17.56,,,,,dfle,0.26
three,,,2,16.54,,,,,dfle,0.36
two,,,2,17.77,,,,,dfle,0.39
one,,,2,19.1,,,,,dfle,0.35
no,,,2,19.96,,,,,dfle,0.25
,lths,,1,13.41,,,,,dfle,0.25
,hs,,1,16.4,,,,,dfle,0.25
,sc,,1,16.62,,,,,dfle,0.35
,co,,1,19.75,,,,,dfle,0.41
,lths,,2,15.92,,,,,dfle,0.26
,hs,,2,18.88,,,,,dfle,0.22
,sc,,2,20.36,,,,,dfle,0.35
,co,,2,21.3,,,,,dfle,0.54
,,first,1,13.51,,,,,dfle,0.45
,,second,1,14.75,,,,,dfle,0.29
,,third,1,16.32,,,,,dfle,0.28
,,fourth,1,18.09,,,,,dfle,0.31
,,first,2,17.48,,,,,dfle,0.34
,,second,2,17.8,,,,,dfle,0.28
,,third,2,19.25,,,,,dfle,0.33
,,fourth,2,20.05,,,,,dfle,0.34
