race,education,age,inci,surv,demden
1,lths,65,0.0474636,100,0.069342168
1,lths,66,0.048288,92.97760763,0.06555528
1,lths,67,0.0491268,86.34648402,0.061901718
1,lths,68,0.0499801,80.09224925,0.058381159
1,lths,69,0.0508482,74.20058884,0.054993274
1,lths,70,0.0517314,68.65728098,0.051737441
1,lths,71,0.0526299,63.44821656,0.048612667
1,lths,72,0.0535441,58.55943878,0.045617889
1,lths,73,0.0544741,53.97714877,0.042751524
1,lths,74,0.0554203,49.68774812,0.040012014
1,lths,75,0.0563829,45.6778449,0.037397406
1,lths,76,0.0573622,41.93428651,0.03490562
1,lths,77,0.0583585,38.44418257,0.032534366
1,lths,78,0.0593722,35.19490705,0.030281215
1,lths,79,0.0604034,32.17412912,0.028143403
1,lths,80,0.0614526,29.36982498,0.026118211
1,lths,81,0.06252,26.77029523,0.024202628
1,lths,82,0.0636059,24.36417184,0.022393563
1,lths,83,0.0647107,22.14043525,0.020687843
1,lths,84,0.0658347,20.08841912,0.019082154
1,lths,85,0.0669782,18.19782144,0.017573101
1,lths,86,0.0681416,16.45871108,0.016157244
1,lths,87,0.0693251,14.86153284,0.014831041
1,lths,88,0.0705293,13.39711099,0.013590998
1,lths,89,0.0717543,12.05664893,0.012433485
1,lths,90,0.0730006,10.83173538,0.011354946
1,lths,91,0.0742686,9.71433749,0.010351797
1,lths,92,0.0755586,8.696802992,0.009420457
1,lths,93,0.076871,7.771855865,0.008557386
1,lths,94,0.0782062,6.932593503,0.007759083
1,lths,95,0.0795646,6.172478049,0.007022095
1,lths,96,0.0809466,5.485332359,0.006343028
1,lths,97,0.0823525,4.865331174,0.005718552
1,lths,98,0.0837829,4.306994314,0.005145437
1,lths,99,0.0852382,3.805175394,0.004620521
1,lths,100,0.0867187,3.355053062,0.004140734
1,hs,65,0.0211879,100,0.035393311
1,hs,66,0.0220944,95.96233646,0.035393972
1,hs,67,0.0230397,91.96346568,0.035346083
1,hs,68,0.0240254,88.00805866,0.035248007
1,hs,69,0.0250533,84.10081737,0.035098466
1,hs,70,0.0261252,80.24646298,0.034896243
1,hs,71,0.027243,76.44970594,0.034640357
1,hs,72,0.0284085,72.71523235,0.034329829
1,hs,73,0.029624,69.04769419,0.033964444
1,hs,74,0.0308914,65.4516424,0.033543658
1,hs,75,0.0322131,61.93155886,0.033067691
1,hs,76,0.0335913,58.49178318,0.032536741
1,hs,77,0.0350285,55.13653072,0.031951539
1,hs,78,0.0365271,51.86982352,0.031312958
1,hs,79,0.0380899,48.69549331,0.030622479
1,hs,80,0.0397196,45.61713375,0.029881745
1,hs,81,0.041419,42.63809003,0.02909276
1,hs,82,0.043191,39.7614236,0.028257893
1,hs,83,0.0450389,36.98989569,0.027380056
1,hs,84,0.0469659,34.32592453,0.026462349
1,hs,85,0.0489753,31.77158021,0.025508209
1,hs,86,0.0510707,29.32855709,0.024521491
1,hs,87,0.0532557,26.9981538,0.023506282
1,hs,88,0.0555342,24.78126405,0.022467016
1,hs,89,0.0579102,22.67834912,0.021408343
1,hs,90,0.0603879,20.68944333,0.020335135
1,hs,91,0.0629715,18.81413758,0.019252374
1,hs,92,0.0656657,17.05158542,0.018165269
1,hs,93,0.0684752,15.40049707,0.017079025
1,hs,94,0.0714048,13.8591503,0.015998847
1,hs,95,0.0744598,12.42540399,0.014929967
1,hs,96,0.0776456,11.09670798,0.013877472
1,hs,97,0.0809676,9.870124684,0.012846247
1,hs,98,0.0844317,8.742358338,0.011841004
1,hs,99,0.0880441,7.709779485,0.010866172
1,hs,100,0.091811,6.76845661,0.0099258
1,sc,65,0.0078627,100,0.02548538
1,sc,66,0.0084145,97.99295477,0.026178603
1,sc,67,0.0090049,95.91505788,0.026858846
1,sc,68,0.0096369,93.76616588,0.027521706
1,sc,69,0.0103131,91.54644014,0.02816352
1,sc,70,0.0110368,89.25638743,0.028779413
1,sc,71,0.0118113,86.8968937,0.029364834
1,sc,72,0.0126401,84.46925196,0.029914455
1,sc,73,0.0135271,81.97522652,0.030423255
1,sc,74,0.0144764,79.41705042,0.030885494
1,sc,75,0.0154922,76.7974922,0.031295448
1,sc,76,0.0165794,74.11989509,0.03164742
1,sc,77,0.0177428,71.38817119,0.031935612
1,sc,78,0.0189879,68.60686386,0.032153915
1,sc,79,0.0203203,65.78116071,0.032296441
1,sc,80,0.0217463,62.91692378,0.032357706
1,sc,81,0.0232723,60.02066899,0.032332187
1,sc,82,0.0249054,57.09960426,0.032214846
1,sc,83,0.0266531,54.16160085,0.032001329
1,sc,84,0.0285234,51.21517045,0.031687529
1,sc,85,0.030525,48.26945148,0.031270503
1,sc,86,0.0326671,45.33413524,0.03074804
1,sc,87,0.0349594,42.41941617,0.030118944
1,sc,88,0.0374127,39.53591843,0.029383408
1,sc,89,0.040038,36.69456994,0.028542647
1,sc,90,0.0428476,33.90652202,0.027599714
1,sc,91,0.0458544,31.18297541,0.026558831
1,sc,92,0.0490722,28.53505656,0.025426094
1,sc,93,0.0525157,25.97363762,0.024209043
1,sc,94,0.056201,23.50916831,0.022917044
1,sc,95,0.0601448,21.15146956,0.021560848
1,sc,96,0.0643653,18.90956325,0.020152744
1,sc,97,0.0688821,16.79146944,0.018706348
1,sc,98,0.0737158,14.8040203,0.017236227
1,sc,99,0.0788887,12.95270292,0.0157578
1,sc,100,0.0844245,11.24150448,0.014286882
1,co,65,0.0040272,100,0.00826541
1,co,66,0.0045017,98.30704432,0.009077562
1,co,67,0.005032,96.52914524,0.009957127
1,co,68,0.0056248,94.66313912,0.010907571
1,co,69,0.0062874,92.70593423,0.011931636
1,co,70,0.0070281,90.65460049,0.013031803
1,co,71,0.0078561,88.50641949,0.014209717
1,co,72,0.0087815,86.25894718,0.0154658
1,co,73,0.0098161,83.91013343,0.016800213
1,co,74,0.0109724,81.45836135,0.018210564
1,co,75,0.0122651,78.90262411,0.019693935
1,co,76,0.01371,76.24258661,0.021244388
1,co,77,0.0153251,73.47876008,0.022854116
1,co,78,0.0171305,70.61264146,0.024512528
1,co,79,0.0191485,67.64687,0.026205674
1,co,80,0.0214043,64.58542628,0.027916492
1,co,81,0.0239259,61.43378855,0.029623885
1,co,82,0.0267445,58.19912883,0.031302589
1,co,83,0.0298951,54.89048871,0.032923293
1,co,84,0.033417,51.51896467,0.03445268
1,co,85,0.0373537,48.09781674,0.035853021
1,co,86,0.0417542,44.64261008,0.037083494
1,co,87,0.046673,41.17124954,0.038100379
1,co,88,0.0521714,37.70396216,0.038858826
1,co,89,0.0583175,34.26316211,0.039313862
1,co,90,0.0651876,30.8732399,0.039422979
1,co,91,0.0728671,27.56019402,0.039148609
1,co,92,0.0814512,24.35109423,0.038460839
1,co,93,0.0910467,21.27341744,0.037340936
1,co,94,0.1017725,18.35419917,0.035784141
1,co,95,0.1137619,15.61905254,0.033802979
1,co,96,0.1271637,13.0910735,0.031429276
