race,education,age,inci,surv,demden
1,lths,65,0.0629414,100,0.10090997
1,lths,66,0.0630965,93.40120867,0.092271642
1,lths,67,0.0632519,87.12110707,0.084238557
1,lths,68,0.0634078,81.15235274,0.076777217
1,lths,69,0.063564,75.48730421,0.069855172
1,lths,70,0.0637206,70.11803147,0.063441871
1,lths,71,0.0638776,65.03637222,0.057508053
1,lths,72,0.064035,60.23392224,0.052025819
1,lths,73,0.0641928,55.70208539,0.046968555
1,lths,74,0.064351,51.43208945,0.042310871
1,lths,75,0.0645095,47.4150309,0.038028484
1,lths,76,0.0646685,43.64188202,0.034098398
1,lths,77,0.0648278,40.10353504,0.030498435
1,lths,78,0.0649875,36.79082105,0.027207591
1,lths,79,0.0651477,33.69453931,0.0242058
1,lths,80,0.0653082,30.80548893,0.021473796
1,lths,81,0.0654691,28.11449237,0.018993315
1,lths,82,0.0656304,25.6124199,0.016746895
1,lths,83,0.0657921,23.29022363,0.014717882
1,lths,84,0.0659542,21.1389516,0.012890408
1,lths,85,0.0661167,19.14977729,0.01124936
1,lths,86,0.0662797,17.31402014,0.009780373
1,lths,87,0.066443,15.62317027,0.008469749
1,lths,88,0.0666067,14.06890138,0.007304532
1,lths,89,0.0667708,12.64309462,0.006272425
1,lths,90,0.0669353,11.3378534,0.005361794
1,lths,91,0.0671002,10.14551652,0.004561652
1,lths,92,0.0672656,9.058676122,0.003861655
1,lths,93,0.0674313,8.070184835,0.003252064
1,lths,94,0.0675974,7.173167196,0.002723773
1,lths,95,0.067764,6.361027914,0.002268275
1,lths,96,0.067931,5.62745775,0.001877642
1,lths,97,0.0680984,4.966439505,0.001544531
1,lths,98,0.0682661,4.37224928,0.001262161
1,lths,99,0.0684343,3.839459057,0.001024307
1,lths,100,0.068603,3.362935946,0.000825273
1,hs,65,0.0253789,100,0.049799897
1,hs,66,0.0261766,95.97915054,0.049122498
1,hs,67,0.0269995,91.99092087,0.048363034
1,hs,68,0.0278482,88.04037235,0.047521123
1,hs,69,0.0287235,84.1326219,0.046597224
1,hs,70,0.0296264,80.27282827,0.045592595
1,hs,71,0.0305577,76.46615204,0.044508668
1,hs,72,0.0315182,72.71775561,0.04334745
1,hs,73,0.032509,69.03275389,0.042111949
1,hs,74,0.0335309,65.41620993,0.040805349
1,hs,75,0.0345849,61.87309212,0.039431729
1,hs,76,0.035672,58.40825812,0.037995783
1,hs,77,0.0367933,55.02640088,0.036502926
1,hs,78,0.0379498,51.73204348,0.034959075
1,hs,79,0.0391428,48.52950124,0.033371009
1,hs,80,0.0403732,45.42284562,0.031745692
1,hs,81,0.0416422,42.41586157,0.030090878
1,hs,82,0.0429512,39.51204199,0.02841489
1,hs,83,0.0443013,36.71454823,0.0267262
1,hs,84,0.0456939,34.02617175,0.025033764
1,hs,85,0.0471302,31.44931134,0.02334661
1,hs,86,0.0486117,28.98595743,0.021674005
1,hs,87,0.0501398,26.63766751,0.020025112
1,hs,88,0.0517158,24.40554318,0.018408897
1,hs,89,0.0533415,22.29021262,0.016834211
1,hs,90,0.0550182,20.29182481,0.015309285
1,hs,91,0.0567476,18.41004401,0.013841917
1,hs,92,0.0585314,16.64404485,0.012439191
1,hs,93,0.0603713,14.99251064,0.011107364
1,hs,94,0.062269,13.4536519,0.009851766
1,hs,95,0.0642263,12.02521128,0.008676723
1,hs,96,0.0662452,10.70448365,0.007585489
1,hs,97,0.0683275,9.488341989,0.006580144
1,hs,98,0.0704753,8.373266624,0.00566164
1,hs,99,0.0726906,7.355377556,0.004829755
1,hs,100,0.0749756,6.430472286,0.004083159
1,sc,65,0.0121382,100,0.030297157
1,sc,66,0.0126649,97.96113183,0.030877503
1,sc,67,0.0132144,95.85411363,0.031424979
1,sc,68,0.0137878,93.6792006,0.031934869
1,sc,69,0.014386,91.43696118,0.032401629
1,sc,70,0.0150102,89.12831616,0.032820076
1,sc,71,0.0156615,86.75456032,0.033184484
1,sc,72,0.0163411,84.31738622,0.033489087
